name,id,source,Related ID,complete,host,date,loc,Originating Lab,Submission Date,Submitting Lab
BetaCoV/Wuhan/HBCDC-HB-02/2019,EPI_ISL_412898,GISAID,,Complete,Homo sapiens,2019-12-30,China / Hubei / Wuhan,Wuhan Jinyintan Hospital,2020-02-28,Hubei Provincial Center for Disease Control and Prevention
BetaCoV/Wuhan/HBCDC-HB-03/2019,EPI_ISL_412899,GISAID,,Complete,Homo sapiens,2019-12-30,China / Hubei / Wuhan,Wuhan Jinyintan Hospital,2020-02-28,Hubei Provincial Center for Disease Control and Prevention
BetaCoV/Wuhan/HBCDC-HB-04/2019,EPI_ISL_412900,GISAID,,Complete/gaps,Homo sapiens,2019-12-30,China / Hubei / Wuhan,Wuhan Jinyintan Hospital,2020-02-28,Hubei Provincial Center for Disease Control and Prevention
BetaCoV/Germany/Baden-Wuerttemberg-1/2020,EPI_ISL_412912,GISAID,,Complete,Homo sapiens,2020-02-25,Germany / Baden-Wuerttemberg,State Health Office Baden-Wuerttemberg,2020-02-28,"Charité Universitätsmedizin Berlin, Institute of Virology"
BetaCoV/Brazil/SPBR-01/2020,EPI_ISL_412964,GISAID,,Partial/scaffold level,Homo sapiens,2020-02-25,Brazil / Sao Paulo / Sao Paulo,Hospital Israelita Albert Einstein,2020-02-28,Instituto Adolfo Lutz Interdisciplinary Procedures Center Strategic Laboratory
SARS-CoV-2/QLD05/human/2020_FSS918/AUS,MT111896,GenBank,,Partial/gene level,Homo sapiens,2020-02,Australia / Queensland,,2020-02-26,"Public Health Virology, Queensland Health Forensic and Scientific Services"
SARS-CoV-2/QLD05/human/2020_FSS918/AUS,MT111895,GenBank,,Partial/gene level,Homo sapiens,2020-02,Australia / Queensland,,2020-02-26,"Public Health Virology, Queensland Health Forensic and Scientific Services"
BetaCoV/Shandong/LY001/2020,EPI_ISL_412387,GISAID,,Partial/gene level,Homo sapiens,2020-01-21,China / Shandong / Linyi,Shandong Provincial Center for Disease Control and Prevention,2020-02-25,Beijing Institute of Microbiology and Epidemiology
BetaCoV/Shandong/LY002/2020,EPI_ISL_412418,GISAID,,Partial/gene level,Homo sapiens,2020-01-21,China / Shandong / Linyi,Shandong Provincial Center for Disease Control and Prevention,2020-02-25,Beijing Institute of Microbiology and Epidemiology
BetaCoV/Shandong/LY003/2020,EPI_ISL_412419,GISAID,,Partial/gene level,Homo sapiens,2020-01-23,China / Shandong / Linyi,Shandong Provincial Center for Disease Control and Prevention,2020-02-25,Beijing Institute of Microbiology and Epidemiology
BetaCoV/Shandong/LY004/2020,EPI_ISL_412420,GISAID,,Partial/gene level,Homo sapiens,2020-01-26,China / Shandong / Linyi,Shandong Provincial Center for Disease Control and Prevention,2020-02-25,Beijing Institute of Microbiology and Epidemiology
BetaCoV/Shandong/LY005/2020,EPI_ISL_412421,GISAID,,Partial/gene level,Homo sapiens,2020-01-24,China / Shandong / Linyi,Shandong Provincial Center for Disease Control and Prevention,2020-02-25,Beijing Institute of Microbiology and Epidemiology
BetaCoV/Shandong/LY007/2020,EPI_ISL_412423,GISAID,,Partial/gene level,Homo sapiens,2020-01-25,China / Shandong / Linyi,Shandong Provincial Center for Disease Control and Prevention,2020-02-25,Beijing Institute of Microbiology and Epidemiology
BetaCoV/Shandong/LY008/2020,EPI_ISL_412424,GISAID,,Partial/gene level,Homo sapiens,2020-01-30,China / Shandong / Linyi,Shandong Provincial Center for Disease Control and Prevention,2020-02-25,Beijing Institute of Microbiology and Epidemiology
BetaCoV/Shandong/LY006/2020,EPI_ISL_412422,GISAID,,Partial/gene level,Homo sapiens,2020-01-24,China / Shandong / Linyi,Shandong Provincial Center for Disease Control and Prevention,2020-02-25,Beijing Institute of Microbiology and Epidemiology
BetaCoV/Shandong/LY-H13/2020,EPI_ISL_412425,GISAID,,Partial/gene level,Environment,2020-01-26,China / Shandong / Linyi,Shandong Provincial Center for Disease Control and Prevention,2020-02-25,Beijing Institute of Microbiology and Epidemiology
BetaCoV/Shandong/LY-H15/2020,EPI_ISL_412426,GISAID,,Partial/gene level,Environment,2020-01-26,China / Shandong / Linyi,Shandong Provincial Center for Disease Control and Prevention,2020-02-25,Beijing Institute of Microbiology and Epidemiology
BetaCoV/Jingzhou/HBCDC-HB-01/2020,EPI_ISL_412459,GISAID,,Complete,Homo sapiens,2020-01-08,China / Hubei / Jingzhou,Jingzhou center for disease control and prevention,2020-02-26,Hubei Provincial Center for Disease Control and Prevention
BetaCoV/Hong Kong/VM20001061/2020,EPI_ISL_412028,GISAID,,Complete,Homo sapiens,2020-01-22,China / Hong Kong,Hong Kong Department of Health,2020-02-24,"School of Public Health, The University of Hon g Kong"
BetaCoV/Hong Kong/VM20001988/2020,EPI_ISL_412029,GISAID,,Complete,Homo sapiens,2020-01-30,China / Hong Kong,Hong Kong Department of Health,2020-02-24,The University of Hong Kong
BetaCoV/Hong Kong/VB20026565/2020,EPI_ISL_412030,GISAID,,Complete,Homo sapiens,2020-02-01,China / Hong Kong,Hong Kong Department of Health,2020-02-24,"School of Public Health, The University of Hon g Kong"
BetaCoV/England/03/2020,EPI_ISL_412116,GISAID,,Complete,Homo sapiens,2020-02-09,United Kingdom,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England",2020-02-24,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England"
BetaCoV/Hefei/2/2020,EPI_ISL_412026,GISAID,,Complete,Homo sapiens,2020-02-23,China / Anhui / Hefei,Second Hospital of Anhui Medical University,2020-02-24,Second Hospital of Anhui Medical University
BetaCoV/Shanghai/SH-01/2020,EPI_ISL_411949,GISAID,,Partial/gene level,Homo sapiens,2020-01-16,China / Shanghai,,2020-02-22,"Pathogenic microbiology laboratory，Huashan Hospital, Fudan University"
BetaCoV/Jiangsu/JS01/2020,EPI_ISL_411950,GISAID,,Complete,Homo sapiens,2020-01-23,China / Jiangsu,"NHC Key laboratory of Enteric Pathogenic Microbiology, Institute of Pathogenic Microbiology",2020-02-22,Jiangsu Provincial Center for Disease Control & Prevention
BetaCoV/Jiangsu/JS02/2020,EPI_ISL_411952,GISAID,,Complete,Homo sapiens,2020-01-24,China / Jiangsu,"NHC Key laboratory of Enteric Pathogenic Microbiology, Institute of Pathogenic Microbiology",2020-02-22,Jiangsu Provincial Center for Disease Control & Prevention
BetaCoV/Jiangsu/JS03/2020,EPI_ISL_411953,GISAID,,Complete,Homo sapiens,2020-01-24,China / Jiangsu,"NHC Key laboratory of Enteric Pathogenic Microbiology, Institute of Pathogenic Microbiology",2020-02-22,Jiangsu Provincial Center for Disease Control & Prevention
2019-nCoV/USA-CA7/2020,MT106052,GenBank,EPI_ISL_411954,Complete,Homo sapiens,2020-02-06,United States / California,California Department of Public Health,2020-02-22,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention"
2019-nCoV/USA-CA8/2020,MT106053,GenBank,EPI_ISL_411955,Complete,Homo sapiens,2020-02-10,United States / California,California Department of Public Health,2020-02-22,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention"
2019-nCoV/USA-TX1/2020,MT106054,GenBank,EPI_ISL_411956,Complete,Homo sapiens,2020-02-11,United States / Texas,Texas Department of State Health Services,2020-02-22,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention"
BetaCoV/Cambodia/0012/2020,EPI_ISL_411902,GISAID,,Complete,Homo sapiens,2020-01-27,Cambodia / Sihanoukville,"Virology Unit, Institut Pasteur du Cambodge.",2020-02-21,"Virology Unit, Institut Pasteur du Cambodge (Sequencing done by: Jessica E Manning/Jennifer A Bohl at Malaria and Vector Research Research Laboratory, National Institute of Allergy and Infectious Diseases and Vida Ahyong from Chan-Zuckerberg Biohub)"
BetaCoV/Taiwan/CGMH-CGU-01/2020,EPI_ISL_411915,GISAID,,Complete,Homo sapiens,2020-01-25,China / Taiwan / Taoyuan,Laboratory Medicine,2020-02-21,"Department of Laboratory Medicine, Lin-Kou Chang Gung Memorial Hospital, Taoyuan, Taiwan."
BetaCoV/Taiwan/3/2020,EPI_ISL_411926,GISAID,,Complete,Homo sapiens,2020-01-24,China / Taiwan / Taipei,Taiwan Centers for Disease Control,2020-02-21,Taiwan Centers for Disease Control
BetaCoV/Taiwan/4/2020,EPI_ISL_411927,GISAID,,Complete,Homo sapiens,2020-01-28,China / Taiwan / Taipei,Taiwan Centers for Disease Control,2020-02-21,Taiwan Centers for Disease Control
SARS-CoV-2/WH-09/human/2020/CHN,MT093631,GenBank,EPI_ISL_411957,Complete,Homo sapiens,2020-01-08,China,,2020-02-21,"Key Laboratory of Human Diseases Comparative Medicine, Institute of Laboratory Animal Science, CAMS&PUMC"
SARS-CoV-2/01/human/2020/SWE,MT093571,GenBank,EPI_ISL_411951,Complete,Homo sapiens,2020-02-07,Sweden,,2020-02-20,"Unit for Laboratory Development and Technology Transfer, Public Health Agency of Sweden"
SARS-CoV-2/HS_194/human/2020/CHN,MT081068,GenBank,EPI_ISL_411967,Partial/gene level,Homo sapiens,2020-02-06,China,,2020-02-13,"Bioinfo, Vision Medicals"
SARS-CoV-2/HS_8/human/2020/CHN,MT081059,GenBank,EPI_ISL_411958,Partial/gene level,Homo sapiens,2020-01-22,China,,2020-02-13,"Bioinfo, Vision Medicals"
SARS-CoV-2/HS_17/human/2020/CHN,MT081060,GenBank,EPI_ISL_411959,Partial/gene level,Homo sapiens,2020-01-23,China,,2020-02-13,"Bioinfo, Vision Medicals"
SARS-CoV-2/HS_18/human/2020/CHN,MT081061,GenBank,EPI_ISL_411960,Partial/gene level,Homo sapiens,2020-01-23,China,,2020-02-13,"Bioinfo, Vision Medicals"
SARS-CoV-2/HS_38/human/2020/CHN,MT081062,GenBank,EPI_ISL_411961,Partial/gene level,Homo sapiens,2020-01-25,China,,2020-02-13,"Bioinfo, Vision Medicals"
SARS-CoV-2/HS_46/human/2020/CHN,MT081063,GenBank,EPI_ISL_411962,Partial/gene level,Homo sapiens,2020-01-26,China,,2020-02-13,"Bioinfo, Vision Medicals"
SARS-CoV-2/HS_64/human/2020/CHN,MT081064,GenBank,EPI_ISL_411963,Partial/gene level,Homo sapiens,2020-01-28,China,,2020-02-13,"Bioinfo, Vision Medicals"
SARS-CoV-2/HS_84/human/2020/CHN,MT081065,GenBank,EPI_ISL_411964,Partial/gene level,Homo sapiens,2020-01-30,China,,2020-02-13,"Bioinfo, Vision Medicals"
SARS-CoV-2/HS_86/human/2020/CHN,MT081066,GenBank,EPI_ISL_411965,Partial/gene level,Homo sapiens,2020-01-30,China,,2020-02-13,"Bioinfo, Vision Medicals"
SARS-CoV-2/HS_92/human/2020/CHN,MT081067,GenBank,EPI_ISL_411966,Partial/gene level,Homo sapiens,2020-01-31,China,,2020-02-13,"Bioinfo, Vision Medicals"
BetaCoV/France/IDF0571/2020,EPI_ISL_411218,GISAID,,Complete,Homo sapiens,2020-02-02,France / Ile-de-France / Paris,"Sorbonne Université, INSERM et Assistance Publique-Hôpitaux de Paris (Pitié Salpétrière)",2020-02-19,"Laboratoire Virpath, CIRI U111, UCBL1, INSERM, CNRS, ENS Lyon"
BetaCoV/France/IDF0386/2020,EPI_ISL_411219,GISAID,,Complete,Homo sapiens,2020-01-28,France / Ile-de-France / Paris,"Sorbonne Université, INSERM et Assistance Publique-Hôpitaux de Paris (Pitié Salpétrière)",2020-02-19,"Laboratoire Virpath, CIRI U111, UCBL1, INSERM, CNRS, ENS Lyon"
BetaCoV/France/IDF0386/2020,EPI_ISL_411220,GISAID,,Complete,Homo sapiens,2020-01-28,France / Ile-de-France / Paris,"Sorbonne Université, INSERM et Assistance Publique-Hôpitaux de Paris (Pitié Salpétrière)",2020-02-19,"Laboratoire Virpath, CIRI U111, UCBL1, INSERM, CNRS, ENS Lyon"
BetaCoV/Fujian/8/2020,EPI_ISL_411060,GISAID,,Complete,Homo sapiens,2020-01-21,China / Fujian,Fujian Center for Disease Control and Prevention,2020-02-19,Fujian Center for Disease Control and Prevention
BetaCoV/Fujian/13/2020,EPI_ISL_411066,GISAID,,Complete,Homo sapiens,2020-01-22,China / Fujian,Fujian Center for Disease Control and Prevention,2020-02-19,Fujian Center for Disease Control and Prevention
MP789,GWHABKW00000000,Genome Warehouse,MT084071,Partial/scaffold level,Manis javanica,2019-03-01,China,,2020-02-18,"Guangdong Institute of Applied Biological Resources, Guangdong Academy of Sciences"
BetaCoV/Singapore/7/2020,EPI_ISL_410713,GISAID,,Complete,Homo sapiens,2020-01-27,Singapore,"National Public Health Laboratory, National Centre for Infectious Diseases",2020-02-18,"National Public Health Laboratory, National Centre for Infectious Diseases"
BetaCoV/Singapore/8/2020,EPI_ISL_410714,GISAID,,Complete,Homo sapiens,2020-02-03,Singapore,"National Public Health Laboratory, National Centre for Infectious Diseases",2020-02-18,"National Public Health Laboratory, National Centre for Infectious Diseases"
BetaCoV/Singapore/9/2020,EPI_ISL_410715,GISAID,,Complete,Homo sapiens,2020-02-04,Singapore,"National Public Health Laboratory, National Centre for Infectious Diseases",2020-02-18,"National Public Health Laboratory, National Centre for Infectious Diseases"
BetaCoV/Singapore/10/2020,EPI_ISL_410716,GISAID,,Complete,Homo sapiens,2020-02-04,Singapore,"National Public Health Laboratory, National Centre for Infectious Diseases",2020-02-18,"National Centre for Infectious Diseases, National Centre for Infectious Diseases"
BetaCoV/Australia/QLD03/2020,EPI_ISL_410717,GISAID,,Complete,Homo sapiens,2020-02-05,Australia / Queensland / Gold Coast,Pathology Queensland,2020-02-18,Public Health Virology Laboratory
BetaCoV/Australia/QLD04/2020,EPI_ISL_410718,GISAID,,Complete,Homo sapiens,2020-02-05,Australia / Queensland / Gold Coast,Pathology Queensland,2020-02-18,Public Health Virology Laboratory
BetaCoV/Singapore/11/2020,EPI_ISL_410719,GISAID,,Complete,Homo sapiens,2020-02-02,Singapore,National Public Health Laboratory,2020-02-18,National Public Health Laboratory
BetaCoV/France/IDF0372-isl/2020,EPI_ISL_410720,GISAID,,Complete,Homo sapiens,2020-01-23,France / Ile-de-France / Paris,"Department of Infectious and Tropical Diseases, Bichat Claude Bernard Hospital, Paris",2020-02-18,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris"
BetaCoV/pangolin/Guandong/1/2020,EPI_ISL_410721,GISAID,,Complete,Manis javanica,2019,China / Guangdong,South China Agricultural University,2020-02-18,South China Agricultural University
BetaCoV/France/IDF0515-isl/2020,EPI_ISL_410984,GISAID,,Complete,Homo sapiens,2020-01-29,France / Ile-de-France / Paris,"Department of Infectious and Tropical Diseases, Bichat Claude Bernard Hospital, Paris",2020-02-18,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris"
BetaCoV/Singapore/6/2020,EPI_ISL_410537,GISAID,,Complete,Homo sapiens,2020-02-09,Singapore,"Singapore General Hospital, Molecular Laboratory, Division of Pathology",2020-02-17,"Programme in Emerging Infectious Diseases, Duke-NUS Medical School"
BetaCoV/pangolin/Guangxi/P4L/2017,EPI_ISL_410538,GISAID,,Complete,Manis javanica,2017,China / Guangxi,Beijing Institute of Microbiology and Epidemiology,2020-02-17,Beijing Institute of Microbiology and Epidemiology
BetaCoV/pangolin/Guangxi/P1E/2017,EPI_ISL_410539,GISAID,,Complete,Manis javanica,2017,China / Guangxi,Beijing Institute of Microbiology and Epidemiology,2020-02-17,Beijing Institute of Microbiology and Epidemiology
BetaCoV/pangolin/Guangxi/P5L/2017,EPI_ISL_410540,GISAID,,Complete,Manis javanica,2017,China / Guangxi,Beijing Institute of Microbiology and Epidemiology,2020-02-17,Beijing Institute of Microbiology and Epidemiology
BetaCoV/pangolin/Guangxi/P5E/2017,EPI_ISL_410541,GISAID,,Complete,Manis javanica,2017,China / Guangxi,Beijing Institute of Microbiology and Epidemiology,2020-02-17,Beijing Institute of Microbiology and Epidemiology
BetaCoV/pangolin/Guangxi/P2V/2017,EPI_ISL_410542,GISAID,,Complete,Manis javanica,2017,China / Guangxi,Beijing Institute of Microbiology and Epidemiology,2020-02-17,Beijing Institute of Microbiology and Epidemiology
BetaCoV/pangolin/Guangxi/P3B/2017,EPI_ISL_410543,GISAID,,Partial/scaffold level,Manis javanica,2017,China / Guangxi,Beijing Institute of Microbiology and Epidemiology,2020-02-17,Beijing Institute of Microbiology and Epidemiology
BetaCoV/pangolin/Guangdong/P2S/2019,EPI_ISL_410544,GISAID,,Partial/scaffold level,Manis javanica,2019,China / Guangdong,Beijing Institute of Microbiology and Epidemiology,2020-02-17,Beijing Institute of Microbiology and Epidemiology
BetaCoV/Italy/INMI1-isl/2020,EPI_ISL_410545,GISAID,,Complete,Homo sapiens,2020-01-29,Italy / Rome,INMI Lazzaro Spallanzani IRCCS,2020-02-17,"Laboratory of Virology, INMI Lazzaro Spallanzani IRCCS"
BetaCoV/Italy/INMI1-cs/2020,EPI_ISL_410546,GISAID,,Complete,Homo sapiens,2020-01-31,Italy / Rome,INMI Lazzaro Spallanzani IRCCS,2020-02-17,"Laboratory of Virology, INMI Lazzaro Spallanzani IRCCS"
BetaCoV/Japan/NA-20-05-1/2020,EPI_ISL_410531,GISAID,,Complete,Homo sapiens,2020-01-25,Japan / Nara,"Dept. of Pathology, National Institute of Infectious Diseases",2020-02-17,"Pathogen Genomics Center, National Institute of Infectious Diseases"
BetaCoV/Japan/OS-20-07-1/2020,EPI_ISL_410532,GISAID,,Complete,Homo sapiens,2020-01-23,Japan / Osaka,"Dept. of Pathology, National Institute of Infectious Diseases",2020-02-17,"Pathogen Genomics Center, National Institute of Infectious Diseases"
BetaCoV/Singapore/4/2020,EPI_ISL_410535,GISAID,,Complete,Homo sapiens,2020-02-03,Singapore,National Centre for Infectious Diseases,2020-02-17,"Programme in Emerging Infectious Diseases, Duke-NUS Medical School"
BetaCoV/Singapore/5/2020,EPI_ISL_410536,GISAID,,Complete,Homo sapiens,2020-02-06,Singapore,"Singapore General Hospital, Molecular Laboratory, Division of Pathology",2020-02-17,"Programme in Emerging Infectious Diseases, Duke-NUS Medical School"
SARS-CoV-2/CL5049/human/2020/MYS,MT066159,GenBank,EPI_ISL_410489,Partial/gene level,Homo sapiens,2020-01-24,Malaysia,,2020-02-14,Natonal Public Health Laboratory
BetaCoV/Henan/IVDC-HeN-002/2020,EPI_ISL_408487,GISAID,,Partial/scaffold level,Homo sapiens,2020-01-20,China / Henan / Zhengzhou,"National Institute for Viral Disease Control and Prevention, China CDC",2020-02-09,"National Institute for Viral Disease Control & Prevention, China CDC"
BetaCoV/Shanghai/IVDC-SH-001/2020,EPI_ISL_408483,GISAID,,Partial/scaffold level,Homo sapiens,2020-01-20,China / Shanghai,"National Institute for Viral Disease Control and Prevention, China CDC",2020-02-09,"National Institute for Viral Disease Control & Prevention, CCDC"
BetaCoV/Beijing/IVDC-BJ-005/2020,EPI_ISL_408485,GISAID,,Complete/6 Ns,Homo sapiens,2020-01-18,China / Beijing,"National Institute for Viral Disease Control and Prevention, China CDC",2020-02-09,"National Institute for Viral Disease Control & Prevention, CCDC"
BetaCoV/Wuhan/IVDC-HB-envF13/2020,EPI_ISL_408511,GISAID,,Complete/low coverage/multiple gaps,Environment,2020-01-01,China / Hubei / Wuhan,"Institute of Viral Disease Control and Prevention, China CDC",2020-02-09,"Institute of Viral Disease Control and Prevention, China CDC"
BetaCoV/Wuhan/IVDC-HB-envF54/2020,EPI_ISL_408512,GISAID,,Complete/low coverage/multiple gaps,Environment,2020-01-01,China / Hubei / Wuhan,"Institute of Viral Disease Control and Prevention, China CDC",2020-02-09,"Institute of Viral Disease Control and Prevention, China CDC"
BetaCoV/Wuhan/IVDC-HB-envB5/2020,EPI_ISL_408513,GISAID,,Partial/gene level,Environment,2020-01-01,China / Hubei / Wuhan,"Institute of Viral Disease Control and Prevention, China CDC",2020-02-09,"Institute of Viral Disease Control and Prevention, China CDC"
BetaCoV/France/RA739/2020,EPI_ISL_410486,GISAID,,Partial/scaffold level,Homo sapiens,2020-02-08,France / Rhone-Alpes / Contamines,CNR Virus des Infections Respiratoires - France SUD,2020-02-14,CNR Virus des Infections Respiratoires - France SUD
SARS-CoV-2/CL5045/human/2020/MYS,MT066157,GenBank,EPI_ISL_410487,Partial/gene level,Homo sapiens,2020-01-24,Malaysia,,2020-02-14,Natonal Public Health Laboratory
SARS-CoV-2/CL5047/human/2020/MYS,MT066158,GenBank,EPI_ISL_410488,Partial/gene level,Homo sapiens,2020-01-24,Malaysia,,2020-02-14,Natonal Public Health Laboratory
BetaCov/Taiwan/NTU02/2020,MT066176,GenBank,EPI_ISL_410218,Complete,Homo sapiens,2020-02-05,China / Taiwan / Taipei,"Department of Laboratory Medicine, National Taiwan University Hospital",2020-02-13,"Microbial Genomics Core Lab, National Taiwan University Centers of Genomic and Precision Medicine"
SARS0CoV-2/61-TW/human/2020/ NPL,MT072688,GenBank,EPI_ISL_410301,Complete,Homo sapiens,2020-01-13,Nepal / Kathmandu,"National Influenza Centre, National Public health Laboratory, Kathmandu, Nepal",2020-02-14,The University of Hong Kong
2019-nCoV_PH_nCOV_20_022,LC523809,GenBank,EPI_ISL_410345,Partial/gene level,Homo sapiens,2020-01-14,Philippines,,2020-02-11,"Research Institute for Tropical Medicine, Molecular Biology Laboratory"
2019-nCoV_PH_nCOV_20_026,LC523807,GenBank,EPI_ISL_410314,Partial/gene level,Homo sapiens,2020-01-15,Philippines,,2020-02-11,"Research Institute for Tropical Medicine, Molecular Biology Laboratory"
2019-nCoV_PH_nCOV_20_025,LC523808,GenBank,EPI_ISL_410344,Partial/gene level,Homo sapiens,2020-01-16,Philippines,,2020-02-11,"Research Institute for Tropical Medicine, Molecular Biology Laboratory"
SARS-CoV-2/Tongji-01/human/2020/CHN,MT042773,GenBank,EPI_ISL_412034,Partial/gene level,Homo sapiens,2020-01,China,,2020-02-09,"Department of Clinical Laboratory, Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology"
SARS-CoV-2/Tongji-02/human/2020/Wuhan,MT042774,GenBank,EPI_ISL_412035,Partial/gene level,Homo sapiens,2020-01,China,,2020-02-09,"Department of Clinical Laboratory, Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology"
SARS-CoV-2/Tongji-03/human/2020/Wuhan,MT042775,GenBank,EPI_ISL_412036,Partial/gene level,Homo sapiens,2020-01,China,,2020-02-09,"Department of Clinical Laboratory, Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology"
SARS-CoV-2/Tongji-04/human/2020/Wuhan,MT042776,GenBank,EPI_ISL_412037,Partial/gene level,Homo sapiens,2020-01,China,,2020-02-09,"Department of Clinical Laboratory, Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology"
